Current Attendence Sheet Data of ACL32513  |  All Type


-,2019-08-01-13:00:00-Lect-2H-ng,2019-08-02-11:00:00-Lect-1H-ng,2019-08-08-13:00:00-Lect-2H-ng,2019-08-15-13:00:00-Lect-2H-ng,2019-08-16-11:00:00-Lect-1H-ng,2019-08-22-13:00:00-Lect-2H-ng,2019-12-12-13:00:00-Lect-2H-ng,2019-12-13-11:00:00-Lect-1H-ng,2019-12-19-13:00:00-Lect-2H-ng,2020-01-02-13:00:00-Lect-2H-ng,2020-01-03-11:00:00-Lect-1H-ng,2020-01-09-13:00:00-Lect-2H-ng,2020-01-16-13:00:00-Lect-2H-ng,2020-01-17-11:00:00-Lect-1H-ng,2020-01-23-13:00:00-Lect-2H-ng,2020-01-24-11:00:00-Lect-1H-ng,2020-01-31-11:00:00-Lect-2H-ng,2020-02-06-13:00:00-Lect-2H-ng,2020-02-07-11:00:00-Lect-1H-ng,2020-02-13-13:00:00-Lect-2H-ng,%
HS/2016/15737,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/15754,E,E,E,1,E,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15804,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,67 %,
HS/2016/15836,1,0,1,1,1,1,1,1,1,1,M,1,1,1,1,M,1,1,1,1,97 %,
HS/2016/15848,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,85 %,
HS/2016/15869,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/15910,1,1,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,82 %,
HS/2016/15916,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,79 %,
HS/2016/15926,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,85 %,
HS/2016/15978,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,67 %,
HS/2016/15987,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,73 %,
HS/2016/16022,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/16075,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,91 %,
HS/2016/16106,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2016/16109,E,E,1,E,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,88 %,
HS/2016/16117,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,33 %,
HS/2016/16122,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,58 %,
HS/2016/16125,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,45 %,
HS/2016/16137,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,88 %,
Total,11,7,16,14,13,11,12,9,17,18,15,15,15,15,18,14,19,19,19,16,
