Current Attendence Sheet Data of POS22613  |  All Type


-,2019-08-01-11:00:00-Lect-1H-ng,2019-08-02-14:00:00-Lect-2H-ng,2019-08-08-11:00:00-Lect-1H-ng,2019-08-09-14:00:00-Lect-2H-ng,2019-08-15-11:00:00-Lect-1H-ng,2019-08-16-14:00:00-Lect-2H-ng,2019-08-22-11:00:00-Lect-1H-ng,2019-08-23-14:00:00-Lect-2H-ng,2019-12-19-11:00:00-Lect-1H-ng,2019-12-20-14:00:00-Lect-2H-ng,2020-01-02-11:00:00-Lect-1H-ng,2020-01-03-14:00:00-Lect-2H-ng,2020-01-09-11:00:00-Lect-1H-ng,2020-01-17-14:00:00-Lect-2H-ng,2020-01-23-11:00:00-Lect-1H-ng,2020-01-24-14:00:00-Lect-2H-ng,2020-01-30-11:00:00-Lect-1H-ng,2020-01-31-14:00:00-Lect-2H-ng,2020-02-06-11:00:00-Lect-1H-ng,2020-02-07-14:00:00-Lect-2H-ng,2020-02-13-11:00:00-Lect-1H-ng,2020-02-14-14:00:00-Lect-2H-ng,2020-02-20-11:00:00-Lect-1H-ng,%
HS/2017/16165,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,91 %,
HS/2017/16167,M,M,1,1,1,1,M,1,M,M,1,1,1,1,1,0,M,M,1,1,1,1,1,94 %,
HS/2017/16178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16188,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16202,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,88 %,
HS/2017/16252,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16291,0,0,1,1,M,M,1,M,1,1,M,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16298,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,E,0,1,88 %,
HS/2017/16325,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,85 %,
HS/2017/16327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16332,E,E,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,85 %,
HS/2017/16333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16335,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,82 %,
HS/2017/16339,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16362,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16363,1,1,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16397,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,94 %,
HS/2017/16418,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
HS/2017/16455,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,76 %,
HS/2017/16459,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,91 %,
HS/2017/16463,1,1,E,E,E,E,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,91 %,
HS/2017/16465,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,79 %,
HS/2017/16479,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,79 %,
HS/2017/16493,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,88 %,
HS/2017/16495,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,82 %,
HS/2017/16496,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,M,1,1,1,88 %,
HS/2017/16497,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16571,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,82 %,
HS/2017/16587,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,79 %,
HS/2017/16607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 %,
Total,20,18,23,22,26,25,20,4,25,25,26,23,24,26,25,24,23,23,26,25,26,25,25,
