Current Attendence Sheet Data of POS32613  |  All Type


-,2019-07-31-09:00:00-Lect-1H-ng,2019-08-02-09:00:00-Lect-2H-ng,2019-08-16-09:00:00-Lect-2H-ng,2019-08-23-09:00:00-Lect-2H-ng,2019-12-13-09:00:00-Lect-2H-ng,2019-12-20-09:00:00-Lect-2H-ng,2020-01-01-09:00:00-Lect-1H-ng,2020-01-03-09:00:00-Lect-2H-ng,2020-01-08-09:00:00-Lect-1H-ng,2020-01-17-09:00:00-Lect-2H-ng,2020-01-22-09:00:00-Lect-1H-ng,2020-01-24-09:00:00-Lect-2H-ng,2020-01-29-09:00:00-Lect-1H-ng,2020-01-31-09:00:00-Lect-2H-ng,2020-02-05-09:00:00-Lect-1H-ng,2020-02-07-09:00:00-Lect-2H-ng,2020-02-12-09:00:00-Lect-1H-ng,2020-02-14-09:00:00-Lect-2H-ng,2020-02-19-09:00:00-Lect-1H-ng,%
HS/2016/15720,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,87 %,
HS/2016/15722,1,1,E,E,1,M,E,1,1,1,E,E,E,E,1,1,0,E,E,97 %,
HS/2016/15728,E,E,1,E,1,E,1,1,1,1,1,1,E,0,0,1,1,0,0,80 %,
HS/2016/15731,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15739,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,83 %,
HS/2016/15762,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15795,E,E,1,E,1,1,1,1,1,1,1,E,1,1,1,0,1,1,1,93 %,
HS/2016/15797,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,97 %,
HS/2016/15798,M,M,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,87 %,
HS/2016/15813,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,93 %,
HS/2016/15823,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15888,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15899,M,M,1,1,1,1,1,1,1,E,1,1,1,1,1,1,1,1,1,100 %,
HS/2016/15902,0,0,1,0,1,E,1,E,1,1,1,E,E,E,1,1,1,1,1,83 %,
HS/2016/15913,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15917,E,E,1,E,1,E,1,1,1,1,1,E,E,1,1,1,1,1,1,100 %,
HS/2016/15940,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,90 %,
HS/2016/15941,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,83 %,
HS/2016/15959,M,1,1,M,1,1,0,1,1,1,1,E,E,1,1,1,1,1,1,97 %,
Total,10,16,18,12,19,18,17,19,19,19,19,17,18,18,18,17,18,18,18,
